product_id,offerId,title,current_merchant_price_brl,target_shopify_price_brl,target_amountMicros,currencyCode,shopify_variant_id,shopify_variant_sku,merchant_link,guardrails
online:pt:BR:01424-002-2,01424-002-2,Tênis Born Raised x Nike SB Dunk Low One Block At A Time Azul,5999.90,8999.99,8999990000,BRL,44413386457310,01424-002-2,https://lksneakers.com.br/products/born-x-raised-x-nike-sb-dunk-low-one-block-at-a-time?currency=BRL&country=BR&variant=44413386457310&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:CU3244100-41,CU3244100-41,Tênis Ben & Jerry's x Dunk Low SB Chunky Dunky Colorido,14999.99,22999.99,22999990000,BRL,44265043362014,CU3244100-41,https://lksneakers.com.br/products/ben-jerrys-x-dunk-low-sb-chunky-dunky?currency=BRL&country=BR&variant=44265043362014&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:CZ2239600-3,CZ2239600-3,Tênis Nike SB Dunk Low What The P-Rod Colorido,4699.99,6999.90,6999900000,BRL,44274675187934,CZ2239600-3,https://lksneakers.com.br/products/nike-sb-dunk-low-what-the-p-rod?currency=BRL&country=BR&variant=44274675187934&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:DQ4040400-39,DQ4040400-39,Tênis Nike SB Dunk Low PRM Phillies Azul,2999.90,2999.99,2999990000,BRL,44265026748638,DQ4040400-39,https://lksneakers.com.br/products/nike-sb-dunk-low-prm-phillies?currency=BRL&country=BR&variant=44265026748638&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:HQ6998-211,HQ6998-211,Tênis Nike Air Jordan 1 Low OG Olive Verde,2499.99,3499.99,3499990000,BRL,47885478035678,HQ6998-211,https://lksneakers.com.br/products/tenis-nike-air-jordan-1-low-og-olive-verde?currency=BRL&country=BR&variant=47885478035678&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:HQ6998-212,HQ6998-212,Tênis Nike Air Jordan 1 Low OG Olive Verde,2499.99,3499.99,3499990000,BRL,47885478068446,HQ6998-212,https://lksneakers.com.br/products/tenis-nike-air-jordan-1-low-og-olive-verde?currency=BRL&country=BR&variant=47885478068446&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:HQ6998-213,HQ6998-213,Tênis Nike Air Jordan 1 Low OG Olive Verde,2499.99,3499.99,3499990000,BRL,47885478101214,HQ6998-213,https://lksneakers.com.br/products/tenis-nike-air-jordan-1-low-og-olive-verde?currency=BRL&country=BR&variant=47885478101214&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:HV0823-119,HV0823-119,Tênis Nike Air Jordan 4 Retro Valentine's Day Sierra Red Vermelho,3499.99,4499.99,4499990000,BRL,47885482262750,HV0823-119,https://lksneakers.com.br/products/tenis-nike-air-jordan-4-retro-valentines-day-sierra-red-vermelho?currency=BRL&country=BR&variant=47885482262750&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:ID0440-1,ID0440-1,Tênis adidas Sambae Cloud White Collegiate Green Branco,1449.90,1749.99,1749990000,BRL,45002227712222,ID0440-1,https://lksneakers.com.br/products/tenis-adidas-sambae-cloud-white-collegiate-green-branco?currency=BRL&country=BR&variant=45002227712222&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:ID0440-3,ID0440-3,Tênis adidas Sambae Cloud White Collegiate Green Branco,1449.90,1749.99,1749990000,BRL,45002227777758,ID0440-3,https://lksneakers.com.br/products/tenis-adidas-sambae-cloud-white-collegiate-green-branco?currency=BRL&country=BR&variant=45002227777758&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IG5932,IG5932,Tênis Adidas Samba Wonder Clay Branco,1599.99,1799.99,1799990000,BRL,45734219612382,IG5932,https://lksneakers.com.br/products/adidas-samba-wonder-clay?currency=BRL&country=BR&variant=45734219612382&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IG5932-4,IG5932-4,Tênis Adidas Samba Wonder Clay Branco,1599.99,1799.99,1799990000,BRL,44325425971422,IG5932-4,https://lksneakers.com.br/products/adidas-samba-wonder-clay?currency=BRL&country=BR&variant=44325425971422&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IG5932-5,IG5932-5,Tênis Adidas Samba Wonder Clay Branco,1599.99,1799.99,1799990000,BRL,44325426004190,IG5932-5,https://lksneakers.com.br/products/adidas-samba-wonder-clay?currency=BRL&country=BR&variant=44325426004190&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IG5932-6,IG5932-6,Tênis Adidas Samba Wonder Clay Branco,1599.99,1799.99,1799990000,BRL,44325426036958,IG5932-6,https://lksneakers.com.br/products/adidas-samba-wonder-clay?currency=BRL&country=BR&variant=44325426036958&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-200,IQ0028-200,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906331358,IQ0028-200,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906331358&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
