old_product_id_deleted,old_offer_id,old_normalized_sku,replacement_local_product_ids_kept,title,package_origin,old_present_preflight,replacement_local_present_preflight,execution_status,delete_status,old_absent_live_verified,replacement_ids_present_live_verified,error_message
local:pt:BR:LIA_ADI-3400542-34,LIA_ADI-3400542-34,ADI-3400542-34,local:pt:BR:LIA_JQ1687,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ADI-3400542-35,LIA_ADI-3400542-35,ADI-3400542-35,local:pt:BR:LIA_JQ1687,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ADI-3400542-36,LIA_ADI-3400542-36,ADI-3400542-36,local:pt:BR:LIA_JQ1687,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ADI-3400542-37,LIA_ADI-3400542-37,ADI-3400542-37,local:pt:BR:LIA_JQ1687,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ADI-3400542-38,LIA_ADI-3400542-38,ADI-3400542-38,local:pt:BR:LIA_JQ1687,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ADI-3400542-39,LIA_ADI-3400542-39,ADI-3400542-39,local:pt:BR:LIA_JQ1687,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ADI-3400542-40,LIA_ADI-3400542-40,ADI-3400542-40,local:pt:BR:LIA_JQ1687,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ALD-8631262-OS,LIA_ALD-8631262-OS,ALD-8631262-OS,local:pt:BR:LIA_AIME11,Boné 5 Panel Aimé Leon Dore Unisphere Azul,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_LAB-0132830-OS,LIA_LAB-0132830-OS,LAB-0132830-OS,local:pt:BR:LIA_43774078386840,Pop Mart Labubu The Monsters Coca Cola Series Happy Factor Vinyl Plush Pingente,D_local_stale_triage,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-3740254-34,LIA_ONI-3740254-34,ONI-3740254-34,local:pt:BR:LIA_1183C123.200,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-3740254-35,LIA_ONI-3740254-35,ONI-3740254-35,local:pt:BR:LIA_1183C123.200,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-3740254-36,LIA_ONI-3740254-36,ONI-3740254-36,local:pt:BR:LIA_1183C123.200,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-3740254-37,LIA_ONI-3740254-37,ONI-3740254-37,local:pt:BR:LIA_1183C123.200,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-3740254-38,LIA_ONI-3740254-38,ONI-3740254-38,local:pt:BR:LIA_1183C123.200,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-3740254-39,LIA_ONI-3740254-39,ONI-3740254-39,local:pt:BR:LIA_1183C123.200,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-3740254-40,LIA_ONI-3740254-40,ONI-3740254-40,local:pt:BR:LIA_1183C123.200,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
