product_id,offer_id,missing_attributes,issue_instance_count,shopify_exact_sku_match_count,shopify_active_match_count,shopify_product_title,shopify_handle,shopify_variant_title,decision_state,suggested_attributes,evidence,write_allowed_now
online:pt:BR:2183-USA,2183-USA,color;size,4,1,1,Jason Markk Travel Shoe Cleaning Kit,jason-markk-travel-shoe-cleaning-kit,Default Title,ambiguous_missing_source_value,"{""sizes"": [""Default Title""], ""color"": """"}","{""sizes"": ""high_shopify_variant_option_or_title"", ""color"": ""low_no_color_detected""}",False
online:pt:BR:300110,300110,color;size,4,1,1,Jason Markk Essential Kit de Limpeza,jason-markk-essential-kit,Default Title,ambiguous_missing_source_value,"{""sizes"": [""Default Title""], ""color"": """"}","{""sizes"": ""high_shopify_variant_option_or_title"", ""color"": ""low_no_color_detected""}",False
online:pt:BR:9780847866694,9780847866694,color;size,4,1,1,Livro Rizzoli Nike SB: The Dunk Book,livro-rizzoli-nike-sb-the-dunk-book,Default Title,ambiguous_missing_source_value,"{""sizes"": [""Default Title""], ""color"": """"}","{""sizes"": ""high_shopify_variant_option_or_title"", ""color"": ""low_no_color_detected""}",False
online:pt:BR:9780847872657,9780847872657,color;size,4,1,1,Livro Rizzoli From Soul to Sole: The Adidas Sneakers of Jacques Chassaing,livro-rizzoli-from-soul-to-sole-the-adidas-sneakers-of-jacques-chassaing,Default Title,ambiguous_missing_source_value,"{""sizes"": [""Default Title""], ""color"": """"}","{""sizes"": ""high_shopify_variant_option_or_title"", ""color"": ""low_no_color_detected""}",False
online:pt:BR:9783836571968,9783836571968,color;size,4,1,1,Livro Taschen The Adidas Archive: The Footwear Collection,livro-taschen-the-adidas-archive-the-footwear-collection,Default Title,ambiguous_missing_source_value,"{""sizes"": [""Default Title""], ""color"": """"}","{""sizes"": ""high_shopify_variant_option_or_title"", ""color"": ""low_no_color_detected""}",False
online:pt:BR:9783836585095,9783836585095,color;size,4,1,1,Livro Taschen Virgil Abloh Nike ICONS,livro-taschen-virgil-abloh-nike-icons,Default Title,ambiguous_missing_source_value,"{""sizes"": [""Default Title""], ""color"": """"}","{""sizes"": ""high_shopify_variant_option_or_title"", ""color"": ""low_no_color_detected""}",False
online:pt:BR:9783836591089,9783836591089,color;size,4,1,1,"Livro Taschen The Adidas Archive: The Footwear Collection 21,7x15,6",livro-taschen-the-adidas-archive-the-footwear-collection-21-7x15-6,Default Title,ambiguous_missing_source_value,"{""sizes"": [""Default Title""], ""color"": """"}","{""sizes"": ""high_shopify_variant_option_or_title"", ""color"": ""low_no_color_detected""}",False
online:pt:BR:9783836597982,9783836597982,color;size,4,1,1,Livro Taschen The Ultimate Sneaker Book 15 x 21,livro-taschen-the-ultimate-sneaker-book-15-x-21,Default Title,ambiguous_missing_source_value,"{""sizes"": [""Default Title""], ""color"": """"}","{""sizes"": ""high_shopify_variant_option_or_title"", ""color"": ""low_no_color_detected""}",False
online:pt:BR:HF8022300-1,HF8022300-1,color,2,1,1,Yuto Horigome x Dunk Low SB Matcha,yuto-horigome-x-dunk-low-sb-matcha,46,ambiguous_missing_source_value,"{""color"": """"}","{""color"": ""low_no_color_detected""}",False
online:pt:BR:HF8022300-10,HF8022300-10,color,2,1,1,Yuto Horigome x Dunk Low SB Matcha,yuto-horigome-x-dunk-low-sb-matcha,44,ambiguous_missing_source_value,"{""color"": """"}","{""color"": ""low_no_color_detected""}",False
