product_id,offer_id,merchant_title,current_availability,diagnostic_required_attrs,proposed_availability,decision_state,evidence_label,policy_caveat,write_scope_if_approved,rollback_required_before_write,write_allowed_now
online:pt:BR:1023851-1A17746_2NM8J-1,1023851-1A17746_2NM8J-1,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,age group;availability;gender;size,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-10,1023851-1A17746_2NM8J-10,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,age group;availability;gender;size,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-2,1023851-1A17746_2NM8J-2,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,age group;availability;gender;size,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-3,1023851-1A17746_2NM8J-3,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,age group;availability;gender;size,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-4,1023851-1A17746_2NM8J-4,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,age group;availability;gender;size,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-5,1023851-1A17746_2NM8J-5,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,age group;availability;gender;size,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-6,1023851-1A17746_2NM8J-6,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,availability,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-7,1023851-1A17746_2NM8J-7,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,age group;availability;gender;size,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-8,1023851-1A17746_2NM8J-8,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,age group;availability;gender;size,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-9,1023851-1A17746_2NM8J-9,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,,age group;availability;gender;size,in stock,ready_for_in_stock_policy_apply_if_lucas_approves,manual_approval_policy_gmc_visibility_not_tiny_stock,"Tiny zero/no stock remains internal stockout/sourcing evidence, but does not set GMC out of stock.","update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
