product_id,offer_id,missing_core_attrs,proposed_core_attributes,evidence,rollback_required_before_write,write_allowed_now,future_write_scope_if_approved
online:pt:BR:1023851-1A17746_2NM8J-1,1023851-1A17746_2NM8J-1,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524543198"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity"", ""sizes"": ""high_shopify_variant_option_or_title"", ""ageGroup"": ""medium_lk_default_adult"", ""gender"": ""medium_lk_default_unisex_needs_review""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
online:pt:BR:1023851-1A17746_2NM8J-10,1023851-1A17746_2NM8J-10,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524608734"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity"", ""sizes"": ""high_shopify_variant_option_or_title"", ""ageGroup"": ""medium_lk_default_adult"", ""gender"": ""medium_lk_default_unisex_needs_review""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
online:pt:BR:1023851-1A17746_2NM8J-2,1023851-1A17746_2NM8J-2,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524313822"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity"", ""sizes"": ""high_shopify_variant_option_or_title"", ""ageGroup"": ""medium_lk_default_adult"", ""gender"": ""medium_lk_default_unisex_needs_review""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
online:pt:BR:1023851-1A17746_2NM8J-3,1023851-1A17746_2NM8J-3,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524346590"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity"", ""sizes"": ""high_shopify_variant_option_or_title"", ""ageGroup"": ""medium_lk_default_adult"", ""gender"": ""medium_lk_default_unisex_needs_review""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
online:pt:BR:1023851-1A17746_2NM8J-4,1023851-1A17746_2NM8J-4,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524379358"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity"", ""sizes"": ""high_shopify_variant_option_or_title"", ""ageGroup"": ""medium_lk_default_adult"", ""gender"": ""medium_lk_default_unisex_needs_review""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
online:pt:BR:1023851-1A17746_2NM8J-5,1023851-1A17746_2NM8J-5,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524412126"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity"", ""sizes"": ""high_shopify_variant_option_or_title"", ""ageGroup"": ""medium_lk_default_adult"", ""gender"": ""medium_lk_default_unisex_needs_review""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
online:pt:BR:1023851-1A17746_2NM8J-6,1023851-1A17746_2NM8J-6,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524444894"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
online:pt:BR:1023851-1A17746_2NM8J-7,1023851-1A17746_2NM8J-7,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524477662"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity"", ""sizes"": ""high_shopify_variant_option_or_title"", ""ageGroup"": ""medium_lk_default_adult"", ""gender"": ""medium_lk_default_unisex_needs_review""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
online:pt:BR:1023851-1A17746_2NM8J-8,1023851-1A17746_2NM8J-8,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524510430"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity"", ""sizes"": ""high_shopify_variant_option_or_title"", ""ageGroup"": ""medium_lk_default_adult"", ""gender"": ""medium_lk_default_unisex_needs_review""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
online:pt:BR:1023851-1A17746_2NM8J-9,1023851-1A17746_2NM8J-9,availability;image link;link;price;title,"{""availability"": ""out of stock"", ""imageLink"": ""https://cdn.shopify.com/s/files/1/0621/8969/9294/files/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom-lk-1023851-1a17746-2nm8j-2-4343910.png?v=1775236271"", ""link"": ""https://www.lksneakers.com.br/products/tenis-onitsuka-tiger-x-versace-sakura-leather-loafers-brown-white-marrom?variant=48054524575966"", ""price"": ""10499.99 BRL"", ""title"": ""Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom""}","{""title"": ""high_shopify_local_product_title"", ""link"": ""medium_constructed_from_shopify_handle_variant"", ""imageLink"": ""high_shopify_local_featured_image"", ""price"": ""high_shopify_local_variant_price"", ""availability"": ""medium_shopify_local_inventory_quantity"", ""sizes"": ""high_shopify_variant_option_or_title"", ""ageGroup"": ""medium_lk_default_adult"", ""gender"": ""medium_lk_default_unisex_needs_review""}",True,False,exact Merchant online product update for proposed_core_attributes only; no local channel/POS rows; no Shopify/Tiny/feed/campaign writes
