product_id,offer_id,decision_state,target_fields,excluded_fields,fresh_missing_required_attrs,current_target_field_presence,current_availability_present,availability_note,api_risk_note,blocked_reason,write_allowed_now
online:pt:BR:1023851-1A17746_2NM8J-1,1023851-1A17746_2NM8J-1,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1023851-1A17746_2NM8J-10,1023851-1A17746_2NM8J-10,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1023851-1A17746_2NM8J-2,1023851-1A17746_2NM8J-2,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1023851-1A17746_2NM8J-3,1023851-1A17746_2NM8J-3,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1023851-1A17746_2NM8J-4,1023851-1A17746_2NM8J-4,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1023851-1A17746_2NM8J-5,1023851-1A17746_2NM8J-5,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1023851-1A17746_2NM8J-6,1023851-1A17746_2NM8J-6,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,availability,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1023851-1A17746_2NM8J-7,1023851-1A17746_2NM8J-7,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1023851-1A17746_2NM8J-8,1023851-1A17746_2NM8J-8,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1023851-1A17746_2NM8J-9,1023851-1A17746_2NM8J-9,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
