product_id,offer_id,title,priority,bucket,execution_status,delete_status,verified_absent_live,error_class
online:pt:BR:10002025469927148791,10002025469927148791,Calça Nude Project Jeans Soft Velvet Azul Marinho,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10131134412697596529,10131134412697596529,38,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10310578515087778063,10310578515087778063,40,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10312083433143971915,10312083433143971915,Bolsa Jacquemus Le Grand Bambino Crossbody Flap Bag Croco Embossed Gradient Blue Azul,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10339778285846091232,10339778285846091232,43,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10494354248419479343,10494354248419479343,40,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10588380249806721771,10588380249806721771,40,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10591784840915585992,10591784840915585992,Boné Saint Studio Art Department Azul - LK,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10621083909303937387,10621083909303937387,Tênis Nike Air Jordan 1 Low Black Brown Marrom,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:1066317393403197052,1066317393403197052,37,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10670199908087968917,10670199908087968917,40,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10695397335246538087,10695397335246538087,42,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10784534773176376609,10784534773176376609,42.5,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10904592510604289283,10904592510604289283,37,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:1095700719253484391,1095700719253484391,42.5,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:10964298058642879571,10964298058642879571,44,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11064332150580902720,11064332150580902720,40,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:1113702393165161260,1113702393165161260,37,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11155759485124230902,11155759485124230902,G/l,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11252184373683873935,11252184373683873935,45,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11288575251658071454,11288575251658071454,41,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11314165610362543496,11314165610362543496,40,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11314792792398542744,11314792792398542744,Moletom Oversized Nylon Fear of God Essentials Jet Black Preto,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11362592317382846242,11362592317382846242,Oculos de Sol Balenciaga BB0231S-005 Branco,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11370243315470770424,11370243315470770424,40,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11559599434789926545,11559599434789926545,38,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11589248076431029294,11589248076431029294,38,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11766943576399902599,11766943576399902599,42,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11803058060859929670,11803058060859929670,41,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
online:pt:BR:11806875313375187771,11806875313375187771,L/g,P0,online_unmatched_possible_stale,verified_absent_after_delete,ok_or_already_absent,True,
