old_product_id,old_offer_id,new_product_id,new_offer_id,title,resolution_reason,execution_status,insert_status,delete_status,error_class
online:pt:BR:11020158,11020158,,,Jaqueta Lululemon Define Nulu,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:1183A592200,1183A592200,,,Tênis Onitsuka Tiger Mexico 66 SD Birch Silver Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:1183B566 021-1,1183B566 021-1,online:pt:BR:1183B566021-1,1183B566021-1,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183B566 021-2,1183B566 021-2,online:pt:BR:1183B566021-2,1183B566021-2,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183B566 021-3,1183B566 021-3,online:pt:BR:1183B566021-3,1183B566021-3,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183B566 021-4,1183B566 021-4,online:pt:BR:1183B566021-4,1183B566021-4,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183B566 021-5,1183B566 021-5,online:pt:BR:1183B566021-5,1183B566021-5,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183B566 021-6,1183B566 021-6,online:pt:BR:1183B566021-6,1183B566021-6,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183B566 021-9,1183B566 021-9,,,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:1183C102 751-1,1183C102 751-1,online:pt:BR:1183C102751-1,1183C102751-1,Tênis Onitsuka Tiger Mexico 66 Kill Bill Amarelo,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183C102 751-11,1183C102 751-11,online:pt:BR:1183C102751-11,1183C102751-11,Tênis Onitsuka Tiger Mexico 66 Kill Bill Amarelo,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183C102 751-2,1183C102 751-2,online:pt:BR:1183C102751-2,1183C102751-2,Tênis Onitsuka Tiger Mexico 66 Kill Bill Amarelo,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183C102 751-3,1183C102 751-3,online:pt:BR:1183C102751-3,1183C102751-3,Tênis Onitsuka Tiger Mexico 66 Kill Bill Amarelo,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:1183C10200,1183C10200,,,Tênis Onitsuka Tiger Mexico 66 Black and White Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:1183C102100,1183C102100,,,Tênis Onitsuka Tiger Mexico 66 White Blue Branco,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:1183C123.200,1183C123.200,,,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:1183C431020,1183C431020,,,Tênis Onitsuka Tiger Tokuten Cinza,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:1183C468.300,1183C468.300,,,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:1FY4567-45,1FY4567-45,online:pt:BR:FY4567,FY4567,Tênis Yeezy Foam Runner Sand Bege,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:205759 610-2,205759 610-2,online:pt:BR:205759610-2,205759610-2,Crocs Classic Clog x The Cars Lightning McQueen Vermelho,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
online:pt:BR:205759 610-3,205759 610-3,online:pt:BR:205759610-3,205759610-3,Crocs Classic Clog x The Cars Lightning McQueen Vermelho,link_variant_to_shopify_sku,applied_insert_new_delete_old_verified,ok,ok,
