old_product_id_to_delete,old_offer_id,correct_existing_product_id_to_keep,correct_offer_id,title,evidence,preview_status
online:pt:BR:11020158,11020158,online:pt:BR:11020158,11020158,Jaqueta Lululemon Define Nulu,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:1183A592200,1183A592200,online:pt:BR:1183A592200,1183A592200,Tênis Onitsuka Tiger Mexico 66 SD Birch Silver Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:1183B566 021-9,1183B566 021-9,online:pt:BR:1183B566 021-9,1183B566 021-9,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:1183C10200,1183C10200,online:pt:BR:1183C10200,1183C10200,Tênis Onitsuka Tiger Mexico 66 Black and White Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:1183C102100,1183C102100,online:pt:BR:1183C102100,1183C102100,Tênis Onitsuka Tiger Mexico 66 White Blue Branco,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:1183C123.200,1183C123.200,online:pt:BR:1183C123.200,1183C123.200,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:1183C431020,1183C431020,online:pt:BR:1183C431020,1183C431020,Tênis Onitsuka Tiger Tokuten Cinza,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:1183C468.300,1183C468.300,online:pt:BR:1183C468.300,1183C468.300,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:39884702,39884702,online:pt:BR:39884702,39884702,Tênis Puma Speedcat Archive Haute Coffee Frosted Ivory Marrom,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:553558030,553558030,online:pt:BR:553558030,553558030,Tênis Nike Air Jordan 1 Low Light Smoke Grey Cinza,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ADI-9091550-34,ADI-9091550-34,online:pt:BR:ADI-9091550-34,ADI-9091550-34,Tênis Adidas Samba OG Valentine's Day,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ADI-9091550-35,ADI-9091550-35,online:pt:BR:ADI-9091550-35,ADI-9091550-35,Tênis Adidas Samba OG Valentine's Day,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ADI-9091550-36,ADI-9091550-36,online:pt:BR:ADI-9091550-36,ADI-9091550-36,Tênis Adidas Samba OG Valentine's Day,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ADI-9091550-37,ADI-9091550-37,online:pt:BR:ADI-9091550-37,ADI-9091550-37,Tênis Adidas Samba OG Valentine's Day,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ADI-9091550-38,ADI-9091550-38,online:pt:BR:ADI-9091550-38,ADI-9091550-38,Tênis Adidas Samba OG Valentine's Day,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ADI-9091550-39,ADI-9091550-39,online:pt:BR:ADI-9091550-39,ADI-9091550-39,Tênis Adidas Samba OG Valentine's Day,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-2352094-L,ALD-2352094-L,online:pt:BR:ALD-2352094-L,ALD-2352094-L,Camiseta Aimé Leon Dore Queens Crest Pocket Pine Grove Verde,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-2352094-M,ALD-2352094-M,online:pt:BR:ALD-2352094-M,ALD-2352094-M,Camiseta Aimé Leon Dore Queens Crest Pocket Pine Grove Verde,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-2352094-S,ALD-2352094-S,online:pt:BR:ALD-2352094-S,ALD-2352094-S,Camiseta Aimé Leon Dore Queens Crest Pocket Pine Grove Verde,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-2352094-XL,ALD-2352094-XL,online:pt:BR:ALD-2352094-XL,ALD-2352094-XL,Camiseta Aimé Leon Dore Queens Crest Pocket Pine Grove Verde,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-2515934-L,ALD-2515934-L,online:pt:BR:ALD-2515934-L,ALD-2515934-L,Camiseta Aimé Leon Dore Musician Graphic Preta,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-2515934-M,ALD-2515934-M,online:pt:BR:ALD-2515934-M,ALD-2515934-M,Camiseta Aimé Leon Dore Musician Graphic Preta,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-2515934-S,ALD-2515934-S,online:pt:BR:ALD-2515934-S,ALD-2515934-S,Camiseta Aimé Leon Dore Musician Graphic Preta,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-2515934-XL,ALD-2515934-XL,online:pt:BR:ALD-2515934-XL,ALD-2515934-XL,Camiseta Aimé Leon Dore Musician Graphic Preta,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3072990-OS,ALD-3072990-OS,online:pt:BR:ALD-3072990-OS,ALD-3072990-OS,Boné Aime Leon Dore Washed Script Plaza Taupe Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3105758-OS,ALD-3105758-OS,online:pt:BR:ALD-3105758-OS,ALD-3105758-OS,Boné Aime Leon Dore Washed Script Jet Black Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3138526-L,ALD-3138526-L,online:pt:BR:ALD-3138526-L,ALD-3138526-L,Moletom Aimé Leon Dore Unisphere Botanical Green Verde,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
