product_id,offer_id,merchant_title,shopify_variant_title,current_sizes,fresh_missing_required_attrs,missing_attributes_from_packet,suggested_sizes,decision_state,selected_for_apply,write_scope_if_approved,rollback_required_before_write
online:pt:BR:105247,105247,Boné Carhartt Canvas Script Graphic Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11700328-1,11700328-1,Boné Lululemon Classic Ball Wordmark,Bone/White,Bone/White,,size,Bone/White,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11700328-2,11700328-2,Boné Lululemon Classic Ball Wordmark,Butter Cream/Light Ivory,Butter Cream/Light Ivory,,size,Butter Cream/Light Ivory,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11700328-3,11700328-3,Boné Lululemon Classic Ball Wordmark,Lavender Lux/Goodnight Plum,Lavender Lux/Goodnight Plum,,size,Lavender Lux/Goodnight Plum,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11700328-4,11700328-4,Boné Lululemon Classic Ball Wordmark,Passionate,Passionate,,size,Passionate,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11700328-5,11700328-5,Boné Lululemon Classic Ball Wordmark,Black/White,Black/White,,size,Black/White,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11700328-6,11700328-6,Boné Lululemon Classic Ball Wordmark,White/Black,White/Black,,size,White/Black,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11750230-1,11750230-1,Bolsa Lululemon Slouchy Sling 6L,Lava Cake,Lava Cake,,size,Lava Cake,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11750230-2,11750230-2,Bolsa Lululemon Slouchy Sling 6L,Light Ivory,Light Ivory,,size,Light Ivory,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11750230-3,11750230-3,Bolsa Lululemon Slouchy Sling 6L,Black,Black,,size,Black,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:11870629-1,11870629-1,Bolsa Lululemon City Essentials,Black/Gold,Black/Gold,,size,Black/Gold,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:9783836572231,9783836572231,Livro Taschen The Ultimate Sneaker Book,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:9783836596244,9783836596244,Livro Taschen Shoes A–Z: The Collection of The Museum at FIT,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:9783836596299,9783836596299,Livro Taschen World’s Greatest Sneaker Collectors,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
