product_id,merchant_title,shopify_variant_title,packet_missing_attributes,fresh_missing_required_attrs,current_sizes,current_age_group,current_gender,suggested_sizes,suggested_age_group,suggested_gender,review_decision_state,review_reasons,apply_allowed_now
online:pt:BR:ST68,Bermuda Saint Studio Alfaiataria Algodão Orgânico Risca de Giz Preto,36,age group; gender; size,age group; gender; size,,,,36,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:YR0065,Calça Pace Nomo Tailoring Trousers Preto,S/P,age group; gender; size,age group; gender; size,,,,S/P,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:ST63,Calça Saint Studio Jeans Baggy Risca de Giz Azul,36,age group; gender; size,age group; gender; size,,,,36,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:ST85,Camisa Saint Studio Pima Listrada Azul,L/G,age group; gender; size,age group; gender; size,,,,L/G,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:5209-1,Camiseta Dane-se x Rubem Valentim Emblema 78 Bordo,G/L,age group; gender; size,age group; gender; size,,,,G/L,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:5362-2,"Camiseta Oversized Dane-se Pare, Respire Off White",M,age group; gender; size,age group; gender; size,,,,M,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:YR0044,Camiseta Pace Buero Off White,L/G,age group; gender; size,age group; gender; size,,,,L/G,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:ST51,Camiseta Saint Studio Boxy Supima Mid Century Branco,L/G,age group; gender; size,age group; gender; size,,,,L/G,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:SLCRCVNV-1,Camiseta Slyce Racquet Club Azul Marinho,P/S,age group; gender; size,age group; gender; size,,,,P/S,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:SLCRBVOW-1,Camiseta Slyce Racquet Club Bordada Off White,P/S,age group; gender; size,age group; gender; size,,,,P/S,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
