product_id,merchant_title,preview_decision_state,fresh_required_attrs,suggested_attributes,evidence,decision_state,selected_for_apply,decision_reasons
online:pt:BR:ST63,Calça Saint Studio Jeans Baggy Risca de Giz Azul,candidate_wave3_color_tag_high_confidence,,{},"{""color"": ""shopify_tag_color""}",blocked_no_current_non_price_suggestion,False,no non-price suggestion still needed
online:pt:BR:ST64,Calça Saint Studio Jeans Baggy Risca de Giz Azul,candidate_wave3_color_tag_high_confidence,,{},"{""color"": ""shopify_tag_color""}",blocked_no_current_non_price_suggestion,False,no non-price suggestion still needed
online:pt:BR:ST65,Calça Saint Studio Jeans Baggy Risca de Giz Azul,candidate_wave3_color_tag_high_confidence,,{},"{""color"": ""shopify_tag_color""}",blocked_no_current_non_price_suggestion,False,no non-price suggestion still needed
online:pt:BR:ST66,Calça Saint Studio Jeans Baggy Risca de Giz Azul,candidate_wave3_color_tag_high_confidence,,{},"{""color"": ""shopify_tag_color""}",blocked_no_current_non_price_suggestion,False,no non-price suggestion still needed
online:pt:BR:ST67,Calça Saint Studio Jeans Baggy Risca de Giz Azul,candidate_wave3_color_tag_high_confidence,,{},"{""color"": ""shopify_tag_color""}",blocked_no_current_non_price_suggestion,False,no non-price suggestion still needed
online:pt:BR:13087103637246019530,Pop Mart Labubu The Monsters Tasty Macarons Green Grape Vinyl Plush Pingente,candidate_wave3_color_title_review,color,"{""color"": ""Verde""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALD-3381470-G,Camiseta Aimé Leon Dore Pappoús Logo Navy Blazer Azul,candidate_wave3_color_title_review,color,"{""color"": ""Azul / Navy""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALD-3381470-M,Camiseta Aimé Leon Dore Pappoús Logo Navy Blazer Azul,candidate_wave3_color_title_review,color,"{""color"": ""Azul / Navy""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALD-3381470-P,Camiseta Aimé Leon Dore Pappoús Logo Navy Blazer Azul,candidate_wave3_color_title_review,color,"{""color"": ""Azul / Navy""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALD-4108254-L,Camiseta Aimé Leon Dore Unisphere Black White Preto,candidate_wave3_color_title_review,color,"{""color"": ""Preto / Branco""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALD-4108254-M,Camiseta Aimé Leon Dore Unisphere Black White Preto,candidate_wave3_color_title_review,color,"{""color"": ""Preto / Branco""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALD-4108254-S,Camiseta Aimé Leon Dore Unisphere Black White Preto,candidate_wave3_color_title_review,color,"{""color"": ""Preto / Branco""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALD-9318238-G,Camiseta Aimé Leon Dore Pappoús Logo Pristine Off White,candidate_wave3_color_title_review,color,"{""color"": ""Off White / Branco""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALD-9318238-M,Camiseta Aimé Leon Dore Pappoús Logo Pristine Off White,candidate_wave3_color_title_review,color,"{""color"": ""Off White / Branco""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALD-9318238-P,Camiseta Aimé Leon Dore Pappoús Logo Pristine Off White,candidate_wave3_color_title_review,color,"{""color"": ""Off White / Branco""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-34,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-35,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-36,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-37,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-38,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-39,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-40,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-41,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-42,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-43,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-2441950-44,Tênis Alo Yoga Alo Runner Pink Rosa,candidate_wave3_color_title_review,color,"{""color"": ""Rosa""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
online:pt:BR:ALO-4485982-L,Calça Alo Yoga Accolade Straight Leg Gravel Bege,candidate_wave3_color_title_review,color,"{""color"": ""Bege""}","{""color"": ""title_color_token_low_to_medium_confidence""}",ready_for_wave3_flexible_apply_if_lucas_approves,True,Lucas approved completeness over perfect fidelity for non-critical attrs; suggestion has evidence/default
