product_id,offer_id,merchant_title,fresh_required_attrs,suggested_attributes,evidence,decision_state,selected_for_apply,has_price_required_attr,decision_reasons
online:pt:BR:1183A201-126-5,1183A201-126-5,Tênis Onitsuka Tiger Mexico 66 White Black Branco,color,"{""color"": ""Branco / Preto""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:DA6672-700-38,DA6672-700-38,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:JS0297-3,JS0297-3,Tênis Adidas Taekwondo Mei Cow Print (Women's) Animal Print,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:DA6672-700-39,DA6672-700-39,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:JH7370-4,JH7370-4,Tênis Adidas Gazelle Indoor Liberty London Floral Embroidery Stripes Multi-Color,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:JRD-5205470-40,JRD-5205470-40,Tênis Nike Air Jordan 1 Retro High OG SP Union LA Chicago Shadow,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:JS0297-5,JS0297-5,Tênis Adidas Taekwondo Mei Cow Print (Women's) Animal Print,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:5706324928133224313,5706324928133224313,39,size,"{""sizes"": [""39""]}","{""sizes"": ""offer_or_title_numeric_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:JS0297-7,JS0297-7,Tênis Adidas Taekwondo Mei Cow Print (Women's) Animal Print,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:DA6672-200-35,DA6672-200-35,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:6036386056472256840,6036386056472256840,37,size,"{""sizes"": [""37""]}","{""sizes"": ""offer_or_title_numeric_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:LLM-4911966-OS,LLM-4911966-OS,Boné Lululemon Tennis Club Off White,size,"{""sizes"": [""Único""]}","{""sizes"": ""offer_or_title_one_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:JQ9229-2,JQ9229-2,Tênis Adidas Ballerina Bad Bunny Off White Black Gum Branco,color,"{""color"": ""Off White / Branco / Preto""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:JP5309-3,JP5309-3,Tênis Adidas Gazelle Indoor Liberty London Floral Embroidery Multi-Color,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:HV6417-001-6,HV6417-001-6,Tênis Nike Zoom Vomero 5 Metallic Silver Platinum Violet Prateado/Violeta,color,"{""color"": ""Prata""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:KTH-4846430-OS,KTH-4846430-OS,Boné Kith Script Logo Classic Boné Stadium Branco/Verde,size,"{""sizes"": [""Único""]}","{""sizes"": ""offer_or_title_one_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:3048242206072553507,3048242206072553507,42,size,"{""sizes"": [""42""]}","{""sizes"": ""offer_or_title_numeric_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:6234067398750979457,6234067398750979457,34,size,"{""sizes"": [""34""]}","{""sizes"": ""offer_or_title_numeric_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:6531799355487598672,6531799355487598672,Camiseta Fear of God Essentials Jersey Crewneck Black Preto,age group; color; gender; price; size,"{""color"": ""Preto"", ""ageGroup"": ""adult"", ""gender"": ""unisex""}","{""color"": ""title_color_token_aggressive"", ""ageGroup"": ""default_adult_lucas_completeness_policy"", ""gender"": ""default_unisex_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,True,color filled from title token or Multicolor fallback; ageGroup default adult; gender default unisex; price remains excluded
online:pt:BR:HV6417-001-2,HV6417-001-2,Tênis Nike Zoom Vomero 5 Metallic Silver Platinum Violet Prateado/Violeta,color,"{""color"": ""Prata""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:JRD-5205470-38,JRD-5205470-38,Tênis Nike Air Jordan 1 Retro High OG SP Union LA Chicago Shadow,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:11810372920072143991,11810372920072143991,40,age group; color; gender; price,"{""color"": ""Multicolor"", ""ageGroup"": ""adult"", ""gender"": ""unisex""}","{""color"": ""default_color_multicolor_lucas_completeness_policy"", ""ageGroup"": ""default_adult_lucas_completeness_policy"", ""gender"": ""default_unisex_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,True,color filled from title token or Multicolor fallback; ageGroup default adult; gender default unisex; price remains excluded
online:pt:BR:DA6672-200-39,DA6672-200-39,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:NUD-2000478-XL,NUD-2000478-XL,Camiseta Baby Look Nude Project Juicy Cherry Branca,color,"{""color"": ""Branco""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
