product_id,offer_id,merchant_title,fresh_required_attrs,suggested_attributes,evidence,decision_state,selected_for_apply,has_price_required_attr,decision_reasons
online:pt:BR:6531799355487598672,6531799355487598672,Camiseta Fear of God Essentials Jersey Crewneck Black Preto,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:RH20,RH20,Lip Tint Rhode Scented Peptide Toast,size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:6562590402534581177,6562590402534581177,Calça Nude Project Illegal Jeans Ash Cinza - LK,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:2258634078163248862,2258634078163248862,Calça Chino Saint Studio Supima Preto,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:MTB16,MTB16,MEDICOM TOY - Bearbrick Pushead #6 400% Toy Art Multi-Color,size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:15334125053592144145,15334125053592144145,Camiseta Oversized Fear of God Essentials Heavy Healther Wood Marrom,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:17378616365015099957,17378616365015099957,Moletom Fear Of God Essentials Brushed Hooded Bomber Brown Marrom,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:13498809788548851139,13498809788548851139,Moletom Essentials Fear of God Jet black SS24 Preto | LK Sneakers,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:10002025469927148791,10002025469927148791,Calça Nude Project Jeans Soft Velvet Azul Marinho,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:9783836591089,9783836591089,"Livro Taschen The Adidas Archive: The Footwear Collection 21,7x15,6",size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
