product_id,offer_id,merchant_title,merchant_link,fresh_required_attrs,suggested_attributes,source_prices,evidence,decision_state,selected_for_apply
online:pt:BR:6531799355487598672,6531799355487598672,Camiseta Fear of God Essentials Jersey Crewneck Black Preto,https://lksneakers.com.br/products/camiseta-fear-of-god-essentials-jersey-crewneck-black-preto,price,"{""price"": {""value"": ""1199.99"", ""currency"": ""BRL""}}",[1199.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""camiseta-fear-of-god-essentials-jersey-crewneck-black-preto"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:11810372920072143991,11810372920072143991,40,https://lksneakers.com.br/collections/roupas/products/calca-saint-studio-wide-alfaiataria-preto,price,"{""price"": {""value"": ""499.99"", ""currency"": ""BRL""}}",[499.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""calca-saint-studio-wide-alfaiataria-preto"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:3876299146406606317,3876299146406606317,Calça Saint Studio Jeans Baggy Preta,https://lksneakers.com.br/products/calca-saint-studio-jeans-baggy-preta,price,"{""price"": {""value"": ""429.99"", ""currency"": ""BRL""}}",[429.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""calca-saint-studio-jeans-baggy-preta"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:6562590402534581177,6562590402534581177,Calça Nude Project Illegal Jeans Ash Cinza - LK,https://lksneakers.com.br/products/calca-nude-project-illegal-jeans-ash-cinza,price,"{""price"": {""value"": ""1299.99"", ""currency"": ""BRL""}}",[1299.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""calca-nude-project-illegal-jeans-ash-cinza"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:17533377349709354893,17533377349709354893,Pop Mart Labubu The Monsters Big into Energy Series Happiness Vinyl Plush Pingente,https://lksneakers.com.br/products/pop-mart-labubu-the-monsters-big-into-energy-series-luck-vinyl-plush-pingente-copia,price,"{""price"": {""value"": ""999.99"", ""currency"": ""BRL""}}",[999.99],"{""price"": ""exact_normalized_title"", ""match_key"": ""pop mart labubu the monsters big into energy series happiness vinyl plush pingente"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:2258634078163248862,2258634078163248862,Calça Chino Saint Studio Supima Preto,https://lksneakers.com.br/products/calca-chino-saint-studio-supima-preto,price,"{""price"": {""value"": ""300.99"", ""currency"": ""BRL""}}","[300.99, 429.99]","{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""calca-chino-saint-studio-supima-preto"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:14088693984092512857,14088693984092512857,Boné 6 Panel Aimé Leon Dore Embroidered Logo Branco,https://lksneakers.com.br/products/bone-6-panel-aime-leon-dore-embroidered-logo-branco,price,"{""price"": {""value"": ""999.99"", ""currency"": ""BRL""}}",[999.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""bone-6-panel-aime-leon-dore-embroidered-logo-branco"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:15334125053592144145,15334125053592144145,Camiseta Oversized Fear of God Essentials Heavy Healther Wood Marrom,https://lksneakers.com.br/products/camiseta-oversized-fear-of-god-essentials-heavy-healther-wood-marrom,price,"{""price"": {""value"": ""1199.99"", ""currency"": ""BRL""}}",[1199.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""camiseta-oversized-fear-of-god-essentials-heavy-healther-wood-marrom"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:17378616365015099957,17378616365015099957,Moletom Fear Of God Essentials Brushed Hooded Bomber Brown Marrom,https://lksneakers.com.br/products/moletom-fear-of-god-essentials-brushed-hooded-bomber-brown-marrom,price,"{""price"": {""value"": ""2799.99"", ""currency"": ""BRL""}}",[2799.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""moletom-fear-of-god-essentials-brushed-hooded-bomber-brown-marrom"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:13498809788548851139,13498809788548851139,Moletom Essentials Fear of God Jet black SS24 Preto | LK Sneakers,https://lksneakers.com.br/products/moletom-essentials-fear-of-god-jet-black-ss24-preto,price,"{""price"": {""value"": ""1499.99"", ""currency"": ""BRL""}}",[1499.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""moletom-essentials-fear-of-god-jet-black-ss24-preto"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:10002025469927148791,10002025469927148791,Calça Nude Project Jeans Soft Velvet Azul Marinho,https://lksneakers.com.br/products/calca-nude-project-jeans-soft-velvet-azul-marinho,price,"{""price"": {""value"": ""1749.99"", ""currency"": ""BRL""}}",[1749.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""calca-nude-project-jeans-soft-velvet-azul-marinho"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:4041641007094962608,4041641007094962608,Camisa Saint Studio Trico Palha | LK Sneakers,https://lksneakers.com.br/products/camisa-saint-studio-trico-palha,price,"{""price"": {""value"": ""459.99"", ""currency"": ""BRL""}}",[459.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""camisa-saint-studio-trico-palha"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:10591784840915585992,10591784840915585992,Boné Saint Studio Art Department Azul - LK,https://lksneakers.com.br/products/bone-saint-studio-art-department-azul,price,"{""price"": {""value"": ""229.99"", ""currency"": ""BRL""}}",[229.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""bone-saint-studio-art-department-azul"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
