product_id,offer_id,title,brand,current_googleProductCategory,current_productTypes,suggested_googleProductCategory,suggested_productTypes,evidence,selected_for_apply
online:pt:BR:JR7031,JR7031,Adidas Taekwondo Mei Ballet Preto e Branco,Adidas,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-1,200031434310-1,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-10,200031434310-10,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-11,200031434310-11,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-2,200031434310-2,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-3,200031434310-3,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-4,200031434310-4,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-5,200031434310-5,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-6,200031434310-6,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-7,200031434310-7,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-8,200031434310-8,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:200031434310-9,200031434310-9,Mule Lululemon SwayDay Black Preto,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-1,2000415173436-1,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-10,2000415173436-10,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-2,2000415173436-2,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-3,2000415173436-3,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-4,2000415173436-4,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-5,2000415173436-5,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-6,2000415173436-6,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-7,2000415173436-7,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-8,2000415173436-8,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000415173436-9,2000415173436-9,Mule Lululemon SwayDay Blissful Pink Rosa,,,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371251-1,2000314371251-1,Mule Lululemon SwayDay Misty Grey Cinza,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371251-2,2000314371251-2,Mule Lululemon SwayDay Misty Grey Cinza,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371251-3,2000314371251-3,Mule Lululemon SwayDay Misty Grey Cinza,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371251-4,2000314371251-4,Mule Lululemon SwayDay Misty Grey Cinza,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371251-5,2000314371251-5,Mule Lululemon SwayDay Misty Grey Cinza,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371251-6,2000314371251-6,Mule Lululemon SwayDay Misty Grey Cinza,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371251-7,2000314371251-7,Mule Lululemon SwayDay Misty Grey Cinza,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371254-1,2000314371254-1,Mule Lululemon SwayDay Nutmeg Bege,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371254-10,2000314371254-10,Mule Lululemon SwayDay Nutmeg Bege,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
online:pt:BR:2000314371254-11,2000314371254-11,Mule Lululemon SwayDay Nutmeg Bege,Lululemon,Vestuário e acessórios > Sapatos,[],Apparel & Accessories > Shoes,"[""Calçados""]",title sneaker-shoe/model token,True
