product_id,offer_id,current_gmc_title,proposed_gmc_title,shopify_product_title,confidence,source,link,selected_for_apply
online:pt:BR:5706324928133224313,5706324928133224313,39,Tênis New Balance 204L x Atmos Cow Girl Brown Marrom - Tamanho 39,Tênis New Balance 204L x Atmos Cow Girl Brown Marrom,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-204l-x-atmos-cow-girl-brown-marrom,True
online:pt:BR:6036386056472256840,6036386056472256840,37,Tênis Nike Shox TL Black Cave Stone Preto - Tamanho 37,Tênis Nike Shox TL Black Cave Stone Preto,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-shox-tl-black-cave-stone-preto,True
online:pt:BR:3048242206072553507,3048242206072553507,42,Tênis ASICS Gel-1130 White Black Silver Prata - Tamanho 42,Tênis ASICS Gel-1130 White Black Silver Prata,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-asics-gel-1130-white-black-silver-prata,True
online:pt:BR:6234067398750979457,6234067398750979457,34,Tênis Nike Air Force 1 Low Protro Kobe Bryant Siempre Hermanos Marrom - Tamanho 34,Tênis Nike Air Force 1 Low Protro Kobe Bryant Siempre Hermanos Marrom,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-air-force-1-low-protro-kobe-bryant-siempre-hermanos-marrom,True
online:pt:BR:11810372920072143991,11810372920072143991,40,Calca Saint Studio Wide Alfaiataria Preto - Tamanho 40,Calca Saint Studio Wide Alfaiataria Preto,média,handle_fallback_HTTPError,https://lksneakers.com.br/collections/roupas/products/calca-saint-studio-wide-alfaiataria-preto,True
online:pt:BR:16599698222138562820,16599698222138562820,34,Tênis Jordan 4 Retro Toro Bravo 2026 Vermelho - Tamanho 34,Tênis Jordan 4 Retro Toro Bravo 2026 Vermelho,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-jordan-4-retro-toro-bravo-2026-vermelho-1,True
online:pt:BR:1863698749035586532,1863698749035586532,44,Tênis ASICS Gel-1130 Black Pure Silver Prata - Tamanho 44,Tênis ASICS Gel-1130 Black Pure Silver Prata,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-asics-gel-1130-black-pure-silver-prata,True
online:pt:BR:4531110532523186885,4531110532523186885,39,Tênis Nike Air Jordan 1 Low SE Repaired Denim Swoosh Azul - Tamanho 39,Tênis Nike Air Jordan 1 Low SE Repaired Denim Swoosh Azul,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-air-jordan-1-low-se-repaired-denim-swoosh-azul,True
online:pt:BR:2198938218729451562,2198938218729451562,37,Tênis Nike Shox TL Velvet Brown Denim Turquoise Marrom - Tamanho 37,Tênis Nike Shox TL Velvet Brown Denim Turquoise Marrom,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-shox-tl-velvet-brown-denim-turquoise-marrom,True
online:pt:BR:14252480804615463970,14252480804615463970,41,Bota Timberland 6 Premium Waterproof Boot Supreme Wheat Bege - Tamanho 41,Bota Timberland 6 Premium Waterproof Boot Supreme Wheat Bege,média,handle_fallback_HTTPError,https://lksneakers.com.br/products/bota-timberland-6-premium-waterproof-boot-supreme-wheat-bege,True
