product_id,offer_id,current_gmc_title,proposed_gmc_title,shopify_product_title,variant_id,variant_sku,size,confidence,source,link,selected_for_apply
online:pt:BR:FD0860001-5,FD0860001-5,Tênis Jarritos x Nike SB Dunk Low Branco/Verde,Tênis Jarritos x Nike SB Dunk Low Branco/Verde - Tamanho 43,Tênis Jarritos x Nike SB Dunk Low Branco/Verde,44591804285150,FD0860001-5,43,alta,shopify_public_product_js,https://lksneakers.com.br/products/jarritos-x-nike-sb-dunk-low?currency=BRL&country=BR&variant=44591804285150&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:JI3185-7,JI3185-7,Tênis Adidas Samba OG Cream White Cardboard Creme,Tênis Adidas Samba OG Cream White Cardboard Creme - Tamanho 40,Tênis Adidas Samba OG Cream White Cardboard Creme,46494929453278,JI3185-7,40,alta,shopify_public_product_js,https://www.lksneakers.com.br/products/tenis-adidas-samba-og-cream-white-cardboard-creme?variant=46494929453278,True
online:pt:BR:JR8772-4,JR8772-4,Tênis Adidas SL 72 RS Aurora Ivy Off White Verde,Tênis Adidas SL 72 RS Aurora Ivy Off White Verde - Tamanho 37,Tênis Adidas SL 72 RS Aurora Ivy Off White Verde,47162097074398,JR8772-4,37,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-adidas-sl-72-rs-aurora-ivy-off-white-verde?currency=BRL&country=BR&variant=47162097074398&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:BQ6817303-46,BQ6817303-46,Tênis Nike SB Dunk Low Pro St. Patrick's Day Verde,Tênis Nike SB Dunk Low Pro St. Patrick's Day Verde - Tamanho 46,Tênis Nike SB Dunk Low Pro St. Patrick's Day Verde,44265056567518,BQ6817303-46,46,alta,shopify_public_product_js,https://lksneakers.com.br/products/nike-sb-dunk-low-pro-st-patricks-day?currency=BRL&country=BR&variant=44265056567518&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:DV0426-012-2,DV0426-012-2,Tênis Nike Air Jordan 1 Low SE 'Light Steel Grey' Cinza,Tênis Nike Air Jordan 1 Low SE 'Light Steel Grey' Cinza - Tamanho 36,Tênis Nike Air Jordan 1 Low SE 'Light Steel Grey' Cinza,44703695798494,DV0426-012-2,36,alta,shopify_public_product_js,https://lksneakers.com.br/products/wmns-air-jordan-1-low-se-light-steel-grey?currency=BRL&country=BR&variant=44703695798494&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:JI2714-5,JI2714-5,Tênis adidas Gazelle Indoor Dark Brown Glow Pink Court Green Marrom,Tênis adidas Gazelle Indoor Dark Brown Glow Pink Court Green Marrom - Tamanho 38,Tênis adidas Gazelle Indoor Dark Brown Glow Pink Court Green Marrom,46193616978142,JI2714-5,38,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-adidas-gazelle-indoor-dark-brown-glow-pink-court-green-marrom?currency=BRL&country=BR&variant=46193616978142&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:1183B566020-4,1183B566020-4,Tênis Onitsuka Tiger Mexico 66 Pure Silver Black Cinza,Tênis Onitsuka Tiger Mexico 66 Pure Silver Black Cinza - Tamanho 37,Tênis Onitsuka Tiger Mexico 66 Pure Silver Black Cinza,45993790963934,1183B566020-4,37,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-onitsuka-tiger-mexico-66-pure-silver-black-cinza?currency=BRL&country=BR&variant=45993790963934&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:FD9923111-4,FD9923111-4,Tênis Nike Dunk Low Multi-Color Colorido,Tênis Nike Dunk Low Multi-Color Colorido - Tamanho 37,Tênis Nike Dunk Low Multi-Color Colorido,44265076359390,FD9923111-4,37,alta,shopify_public_product_js,https://lksneakers.com.br/products/nike-dunk-low-multi-color?currency=BRL&country=BR&variant=44265076359390&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:u1906lbn3,u1906lbn3,Tênis New Balance 1906L Preto Couro Mesh Preto,Tênis New Balance 1906L Preto Couro Mesh Preto - Tamanho 36,Tênis New Balance 1906L Preto Couro Mesh Preto,47124611563742,u1906lbn3,36,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-1906l-preto-couro-mesh-casual?currency=BRL&country=BR&variant=47124611563742&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:HV0823-100-5,HV0823-100-5,Tênis Nike Air Jordan 4 Retro Forget Me Not Azul,Tênis Nike Air Jordan 4 Retro Forget Me Not Azul - Tamanho 38,Tênis Nike Air Jordan 4 Retro Forget Me Not Azul,46676035797214,HV0823-100-5,38,alta,shopify_public_product_js,https://www.lksneakers.com.br/products/tenis-air-jordan-4-retro-forget-me-not-azul?variant=46676035797214,True
online:pt:BR:BQ6472104-1,BQ6472104-1,Tênis Nike Air Jordan 1 Mid Kentucky Blue Azul,Tênis Nike Air Jordan 1 Mid Kentucky Blue Azul - Tamanho 38,Tênis Nike Air Jordan 1 Mid Kentucky Blue Azul,47739925856478,BQ6472104-1,38,alta,shopify_public_product_js,https://www.lksneakers.com.br/products/air-jordan-1-mid-kentucky-blue?variant=47739925856478,True
online:pt:BR:DH4401101-40,DH4401101-40,Tênis Nike Dunk Low Blue Paisley Azul,Tênis Nike Dunk Low Blue Paisley Azul - Tamanho 34,Tênis Nike Dunk Low Blue Paisley Azul,45065961668830,DH4401101-40,34,alta,shopify_public_product_js,https://lksneakers.com.br/products/nike-dunk-low-blue-paisley?currency=BRL&country=BR&variant=45065961668830&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:DO9395400-10,DO9395400-10,Tênis Nike SB Dunk Low LA Dodgers Azul,Tênis Nike SB Dunk Low LA Dodgers Azul - Tamanho 46,Tênis Nike SB Dunk Low LA Dodgers Azul,44265059123422,DO9395400-10,46,alta,shopify_public_product_js,https://lksneakers.com.br/products/nike-sb-dunk-low-la-dodgers?currency=BRL&country=BR&variant=44265059123422&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:FV5029-010-43,FV5029-010-43,Tênis Nike Air Jordan 4 Retro 'Black Cat' Preto,Tênis Nike Air Jordan 4 Retro 'Black Cat' Preto - Tamanho 43,Tênis Nike Air Jordan 4 Retro 'Black Cat' Preto,47935086166238,FV5029-010-43,43,alta,shopify_public_product_js,https://www.lksneakers.com.br/products/tenis-nike-air-jordan-4-retro-black-cat-preto?variant=47935086166238,True
online:pt:BR:1182A678.750-7,1182A678.750-7,Tênis Onitsuka Tiger Mexico 66 TGRS Yellow/Black Amarelo,Tênis Onitsuka Tiger Mexico 66 TGRS Yellow/Black Amarelo - Tamanho 40,Tênis Onitsuka Tiger Mexico 66 TGRS Yellow/Black Amarelo,47783906148574,1182A678.750-7,40,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-onitsuka-tiger-mexico-66-tgrs-yellow-black-amarelo?currency=BRL&country=BR&variant=47783906148574&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
