priority,bucket,action_package,risk,channel,product_id,offer_id,reconciliation_offer_id,title,source,availability,recommended_action,evidence,has_destination_problem,item_issue_count,approval_needed,rollback_requirement,execution_status
P0,online_unmatched_possible_stale,A_online_stale_triage,high,online,online:pt:BR:15767679015764438420,15767679015764438420,15767679015764438420,36,crawl,in stock,investigate_stale_or_wrong_online_item_preview,merchant_item_level_issues,False,3,Lucas approval for Merchant product delete/suppression or feed change.,Reinsert or restore exact Merchant product resource/feed row from pre-action snapshot if a valid item is removed.,not_executed_preview_only
P0,online_unmatched_possible_stale,A_online_stale_triage,high,online,online:pt:BR:16881097185330469585,16881097185330469585,16881097185330469585,39,crawl,in stock,investigate_stale_or_wrong_online_item_preview,merchant_item_level_issues,False,3,Lucas approval for Merchant product delete/suppression or feed change.,Reinsert or restore exact Merchant product resource/feed row from pre-action snapshot if a valid item is removed.,not_executed_preview_only
P0,online_unmatched_possible_stale,A_online_stale_triage,high,online,online:pt:BR:2635861299432826332,2635861299432826332,2635861299432826332,38,crawl,in stock,investigate_stale_or_wrong_online_item_preview,merchant_item_level_issues,False,4,Lucas approval for Merchant product delete/suppression or feed change.,Reinsert or restore exact Merchant product resource/feed row from pre-action snapshot if a valid item is removed.,not_executed_preview_only
P0,online_unmatched_possible_stale,A_online_stale_triage,high,online,online:pt:BR:3981551483619956066,3981551483619956066,3981551483619956066,40,crawl,in stock,investigate_stale_or_wrong_online_item_preview,merchant_item_level_issues,False,3,Lucas approval for Merchant product delete/suppression or feed change.,Reinsert or restore exact Merchant product resource/feed row from pre-action snapshot if a valid item is removed.,not_executed_preview_only
P0,online_unmatched_possible_stale,A_online_stale_triage,high,online,online:pt:BR:563228365708453237,563228365708453237,563228365708453237,44,crawl,in stock,investigate_stale_or_wrong_online_item_preview,merchant_item_level_issues,False,3,Lucas approval for Merchant product delete/suppression or feed change.,Reinsert or restore exact Merchant product resource/feed row from pre-action snapshot if a valid item is removed.,not_executed_preview_only
P1,local_identifier_mismatch,C_local_identifier_fix,medium_high,local,local:pt:BR:LIA_11020158,LIA_11020158,11020158,Jaqueta Lululemon Define Nulu,api,in stock,fix_or_confirm_local_identifier_mapping_preview,item_group_matches_shopify_product_id;same_normalized_offer_seen_in_local_and_online,False,0,Lucas approval for any local inventory/POS/Merchant mapping write.,Keep LIA product resource snapshot and POS/local mapping before any change; rollback by restoring mapping/resource.,not_executed_preview_only
P1,local_identifier_mismatch,C_local_identifier_fix,medium_high,local,local:pt:BR:LIA_1183A592200,LIA_1183A592200,1183A592200,Tênis Onitsuka Tiger Mexico 66 SD Birch Silver Bege,api,in stock,fix_or_confirm_local_identifier_mapping_preview,item_group_matches_shopify_product_id;gtin_matches_shopify_barcode;same_normalized_offer_seen_in_local_and_online,False,0,Lucas approval for any local inventory/POS/Merchant mapping write.,Keep LIA product resource snapshot and POS/local mapping before any change; rollback by restoring mapping/resource.,not_executed_preview_only
P1,local_identifier_mismatch,C_local_identifier_fix,medium_high,local,local:pt:BR:LIA_1183B566 021-1,LIA_1183B566 021-1,1183B566 021-1,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,api,in stock,fix_or_confirm_local_identifier_mapping_preview,item_group_matches_shopify_product_id;gtin_matches_shopify_barcode,False,0,Lucas approval for any local inventory/POS/Merchant mapping write.,Keep LIA product resource snapshot and POS/local mapping before any change; rollback by restoring mapping/resource.,not_executed_preview_only
P1,local_identifier_mismatch,C_local_identifier_fix,medium_high,local,local:pt:BR:LIA_1183B566 021-2,LIA_1183B566 021-2,1183B566 021-2,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,api,in stock,fix_or_confirm_local_identifier_mapping_preview,item_group_matches_shopify_product_id;gtin_matches_shopify_barcode,False,0,Lucas approval for any local inventory/POS/Merchant mapping write.,Keep LIA product resource snapshot and POS/local mapping before any change; rollback by restoring mapping/resource.,not_executed_preview_only
P1,local_identifier_mismatch,C_local_identifier_fix,medium_high,local,local:pt:BR:LIA_1183B566 021-3,LIA_1183B566 021-3,1183B566 021-3,Tênis Onitsuka Tiger Mexico 66 Chrome Silver Prata,api,in stock,fix_or_confirm_local_identifier_mapping_preview,item_group_matches_shopify_product_id;gtin_matches_shopify_barcode,False,0,Lucas approval for any local inventory/POS/Merchant mapping write.,Keep LIA product resource snapshot and POS/local mapping before any change; rollback by restoring mapping/resource.,not_executed_preview_only
