priority,product_id,offer_id,reconciliation_offer_id,channel,title,action,reason,has_online_counterpart,has_local_counterpart,matches_shopify_sku,matches_shopify_variant_id,approval_status
P1,local:pt:BR:LIA_1201A256-113-34,LIA_1201A256-113-34,1201A256-113-34,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-35,LIA_1201A256-113-35,1201A256-113-35,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-36,LIA_1201A256-113-36,1201A256-113-36,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-37,LIA_1201A256-113-37,1201A256-113-37,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-38,LIA_1201A256-113-38,1201A256-113-38,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-39,LIA_1201A256-113-39,1201A256-113-39,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-40,LIA_1201A256-113-40,1201A256-113-40,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-41,LIA_1201A256-113-41,1201A256-113-41,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-42,LIA_1201A256-113-42,1201A256-113-42,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-43,LIA_1201A256-113-43,1201A256-113-43,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A256-113-44,LIA_1201A256-113-44,1201A256-113-44,local,Tênis ASICS Gel-1130 White Clay Canyon Branco,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-34,LIA_1201A789-020-34,1201A789-020-34,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-35,LIA_1201A789-020-35,1201A789-020-35,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-36,LIA_1201A789-020-36,1201A789-020-36,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-37,LIA_1201A789-020-37,1201A789-020-37,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-38,LIA_1201A789-020-38,1201A789-020-38,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-39,LIA_1201A789-020-39,1201A789-020-39,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-40,LIA_1201A789-020-40,1201A789-020-40,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-41,LIA_1201A789-020-41,1201A789-020-41,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-42,LIA_1201A789-020-42,1201A789-020-42,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-43,LIA_1201A789-020-43,1201A789-020-43,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
P1,local:pt:BR:LIA_1201A789-020-44,LIA_1201A789-020-44,1201A789-020-44,local,Tênis ASICS Gel-NYC Graphite Grey Black Preto,cleanup_candidate_local_duplicate_preview_only,same_offer_id_exists_as_online_and_local,True,True,False,False,preview_only_requires_explicit_cleanup_approval
