product_id,offer_id,decision_state,merchant_title,missing_attributes,suggested_attributes,shopify_product_title,shopify_variant_title
online:pt:BR:105247,105247,candidate_high_confidence_attr_preview,Boné Carhartt Canvas Script Graphic Preto,size,"{""sizes"": [""Default Title""]}",Boné Carhartt Canvas Script Graphic Preto,Default Title
online:pt:BR:11700328-1,11700328-1,candidate_high_confidence_attr_preview,Boné Lululemon Classic Ball Wordmark,size,"{""sizes"": [""Bone/White""]}",Boné Lululemon Classic Ball Wordmark,Bone/White
online:pt:BR:11700328-2,11700328-2,candidate_high_confidence_attr_preview,Boné Lululemon Classic Ball Wordmark,size,"{""sizes"": [""Butter Cream/Light Ivory""]}",Boné Lululemon Classic Ball Wordmark,Butter Cream/Light Ivory
online:pt:BR:11700328-3,11700328-3,candidate_high_confidence_attr_preview,Boné Lululemon Classic Ball Wordmark,size,"{""sizes"": [""Lavender Lux/Goodnight Plum""]}",Boné Lululemon Classic Ball Wordmark,Lavender Lux/Goodnight Plum
online:pt:BR:11700328-4,11700328-4,candidate_high_confidence_attr_preview,Boné Lululemon Classic Ball Wordmark,size,"{""sizes"": [""Passionate""]}",Boné Lululemon Classic Ball Wordmark,Passionate
online:pt:BR:11700328-5,11700328-5,candidate_high_confidence_attr_preview,Boné Lululemon Classic Ball Wordmark,size,"{""sizes"": [""Black/White""]}",Boné Lululemon Classic Ball Wordmark,Black/White
online:pt:BR:11700328-6,11700328-6,candidate_high_confidence_attr_preview,Boné Lululemon Classic Ball Wordmark,size,"{""sizes"": [""White/Black""]}",Boné Lululemon Classic Ball Wordmark,White/Black
online:pt:BR:11750230-1,11750230-1,candidate_high_confidence_attr_preview,Bolsa Lululemon Slouchy Sling 6L,size,"{""sizes"": [""Lava Cake""]}",Bolsa Lululemon Slouchy Sling 6L,Lava Cake
online:pt:BR:11750230-2,11750230-2,candidate_high_confidence_attr_preview,Bolsa Lululemon Slouchy Sling 6L,size,"{""sizes"": [""Light Ivory""]}",Bolsa Lululemon Slouchy Sling 6L,Light Ivory
online:pt:BR:11750230-3,11750230-3,candidate_high_confidence_attr_preview,Bolsa Lululemon Slouchy Sling 6L,size,"{""sizes"": [""Black""]}",Bolsa Lululemon Slouchy Sling 6L,Black
online:pt:BR:11870629-1,11870629-1,candidate_high_confidence_attr_preview,Bolsa Lululemon City Essentials,size,"{""sizes"": [""Black/Gold""]}",Bolsa Lululemon City Essentials,Black/Gold
