offer_id,product_id,product_title,product_handle,vendor,product_type,variant_sku,variant_title,missing_attributes,age_group,gender,size,color,confidence,recommended_surface,write_allowed_now
DZ4137116,online:pt:BR:DZ4137116,,,,,,,"age group,gender,size",adult,unisex,,,low,manual_review_before_write,False
ST75,online:pt:BR:ST75,Shorts Saint Studio Everywear Caqui Bege,shorts-saint-studio-everywear-caqui-bege,Saint Studio,Shorts,ST75,40,"age group,gender,size",adult,unisex,40,,medium,supplemental_feed_preview_preferred,False
FZ3124200,online:pt:BR:FZ3124200,,,,,,,"age group,gender,size",adult,unisex,,,low,manual_review_before_write,False
IH7323102,online:pt:BR:IH7323102,,,,,,,"age group,gender,size",adult,unisex,,,low,manual_review_before_write,False
JQ9230-1,online:pt:BR:JQ9230-1,Tênis Adidas Ballerina Bad Bunny Bold Gold Amarelo,tenis-adidas-ballerina-bad-bunny-bold-gold-amarelo,Adidas,Tênis,JQ9230-1,34,"age group,gender,size",adult,unisex,34,,medium,supplemental_feed_preview_preferred,False
U9060AUB-2,online:pt:BR:U9060AUB-2,Tênis New Balance 9060 Mesh Slate Grey Calcium Cinza,tenis-new-balance-9060-camurca-mesh-cinza-slate-grey-calcium,New Balance,Tênis,U9060AUB-2,35,"age group,gender,size",adult,male,35,,medium,supplemental_feed_preview_preferred,False
gw0099,online:pt:BR:gw0099,Tênis Adidas Yeezy Boost 350 V2 Ash Stone Cinza,tenis-adidas-yeezy-boost-350-v2-ash-stone-cinza,Yeezy,Tênis,gw0099,44,"age group,gender,size",adult,unisex,44,,medium,supplemental_feed_preview_preferred,False
IH7971-001-43,online:pt:BR:IH7971-001-43,Tênis Nike Air Jordan Chase B x Travis Scott x Jumpman Jack TR Black Night Silver Preto,tenis-nike-air-jordan-chase-b-x-travis-scott-x-jumpman-jack-tr-black-night-silver-preto,Air Jordan,Tênis,IH7971-001-43,43,"age group,gender,size",adult,unisex,43,,medium,supplemental_feed_preview_preferred,False
HM4743408,online:pt:BR:HM4743408,,,,,,,"age group,gender,size",adult,unisex,,,low,manual_review_before_write,False
IH4001-40,online:pt:BR:IH4001-40,Tênis Adidas Tokyo Mary Jane Crystal Sky Cream White Azul,tenis-adidas-tokyo-mary-jane-crystal-sky-cream-white-azul,Adidas,Tênis,IH4001-40,40,"age group,gender,size",adult,unisex,40,,medium,supplemental_feed_preview_preferred,False
U9060AUB-5,online:pt:BR:U9060AUB-5,Tênis New Balance 9060 Mesh Slate Grey Calcium Cinza,tenis-new-balance-9060-camurca-mesh-cinza-slate-grey-calcium,New Balance,Tênis,U9060AUB-5,38,"age group,gender,size",adult,male,38,,medium,supplemental_feed_preview_preferred,False
