id,color,age_group,gender,size
JI3185-7,Cream/White,adult,male,40
LIA_f99715,Cinza,,,
LIA_1183A360.205-7,Midnight/Bege,,,
HV0823-100-5,Azul,adult,male,38
BQ6472104-1,Blue/Azul,adult,unisex,38
FV5029-010-43,Black/Preto,,,
1201A789-020-41,Graphite/Grey,adult,unisex,41
1183C468200-2,Desert/Cream,adult,unisex,35
LIA_IB1519-200-11,Verde,,,
LIA_IO7325-006,Camo/Black,,,
DD0587-002-43,Grey/Cinza,adult,unisex,43
HV0823-100-6,Azul,adult,male,39
1201A789-020-39,Graphite/Grey,adult,unisex,39
LIA_5209-1,Bordo,,,
LIA_U204L5AV-34,Grey/Cinza,,,
1183C428.200-10,Green/Bege,adult,unisex,43
LIA_1203B011-100-37,Branco,,,
LIA_HM5973-603-2,Pink/Rosa,,,
UGTR83J-42,Bege,adult,unisex,42
LIA_IB4340-200-40,Brown/Denim,,,
1183C233-250-4,Natural/Navy,adult,unisex,37
KAWS005,Brown/Marrom,,,
LIA_HV8547-700-2,Amarelo,,,
u9060aga-8,Grey/Cinza,adult,unisex,41
A15FW740-1,Black/Preto,adult,unisex,34
HQ4309-610-40,Pearl/Pink,adult,unisex,40
1183A201-126-5,White/Black,,,
3MG10844970-40,Verde,adult,unisex,40
LIA_HQ7978-103-43,White,,,
LIA_JQ9229-7,Off white/White,,,
1183C141-100-4,White/Branco,adult,unisex,37
LIA_JQ9229-8,Off white/White,,,
DZ4137116,Olive/Branco,,,
LIA_HM5973-300-39,Green/Verde,,,
LIA_gw00100,Ash/Stone,,,
U204L6A6-34,Bege,adult,unisex,34
U204L2SZ-36,Linen/Bege,adult,unisex,36
JI0073-3,Laranja,adult,female,35
LIA_1183B601.200-1,Cream/Bege,,,
LIA_IU4902-900-34,Dourado,,,
LIA_U1906LNS-36,Marrom,,,
HM5973-603-11,Pink/Rosa,adult,unisex,44
JR5763,Sky/Azul,adult,female,39
FZ5042-041-44,Denim/Azul,adult,unisex,44
LIA_1183C233-250-3,Natural/Navy,,,
LIA_U9060AUB-11,Grey/Cinza,,,
1183C480-001-10,Black/Preto,adult,unisex,44
ST75,Caqui/Bege,,,
LIA_HV0823-100-7,Azul,,,
LIA_1183C576.0010,Black/Preto,,,
JR1639-4,Green/Bege,adult,unisex,37
LIA_1183A746-751-1,Amarelo,,,
LIA_HM5973-606-35,Pearl/Pink,,,
LIA_IO7325-007,Camo/Black,,,
FZ3124200,Olive/Verde,,,
1183C480-001-6,Black/Preto,adult,unisex,39
HV0823-100-2,Azul,adult,male,35
43774078387710,White/Blue,,,
U204L4HH-42,Ash/Cinza,adult,unisex,42
LIA_1201A933-100-42,White/Black,,,
DH1348-001-34,Laranja,adult,unisex,34
LIA_43774078387160,Brown/Orange,,,
LIA_HV6417-001-7,Silver/Prateado,,,
FQ8138-600-46,Vermelho,adult,unisex,46
U1906LNT-10,Black/Preto,adult,unisex,42
LIA_STUNT2-3,Cinza,,,
HQ3490-099-6,Grey/Cinza,adult,unisex,43
AA3834-100-45,Branco,adult,unisex,45
LIA_1183B577.751-6,Amarelo,,,
CN0151-002-38,Black/Yellow,adult,unisex,38
LIA_398846-19-1,Yellow/Black,,,
1183A360.205-2,Midnight/Bege,adult,unisex,35
JH5439-8,Bordô,adult,unisex,41
LIA_1183C480-021-4,Silver/Prateado,,,
LIA_U204L5AV-38,Grey/Cinza,,,
LIA_f99711,Cinza,,,
IO7847-001-35,Royal,adult,unisex,35
LIA_HQ4307-400-38,Blue/Azul,,,
LIA_IU4902-900-41,Dourado,,,
RH24-2,Black/Preto,,,
JQ6440,Pink/Rosa,adult,female,40
LIA_JQ9231-8,Black/Chalk,,,
LIA_1183B601.200-9,Cream/Bege,,,
43774078390070,Branco/Preto,adult,unisex,41
LIA_1183C233-250-7,Natural/Navy,,,
1182A708.700-4,Red/Cream,adult,unisex,37
AV3594-104-34,Brown/Stone,adult,unisex,34
HQ7978-103-44,White,adult,unisex,44
U204L5AV-41,Grey/Cinza,adult,unisex,41
LIA_1183C468200-3,Desert/Cream,,,
43774078391660,Light/Heather,kids,unisex,XXS/PPP
IH7323102,Pearl/Bege,,,
DR5415-100-40,Navy/Branco,adult,unisex,40
3561,Off white/White,,,
LIA_398846_18-5,Royal/White,,,
bb5351,Black,adult,unisex,35
LIA_RH22,Espresso,,,
DH1348-004-41,Aqua/Azul,,,
JH5439-6,Bordô,adult,unisex,39
LIA_U204L6A6-40,Bege,,,
U204L1KP-37,Dark/Silver,adult,unisex,37
1182A678.700-7,Pink/Graphite,adult,unisex,40
LIA_1183C123.264-7,Natural/Cream,,,
LIA_1025116-1A17741_2NM5J-4,Brown/Bege,,,
LIA_HF8814-002-43,Azul,,,
KI3582-40,Cream/White,adult,unisex,40
HQ4307-101-38,White/Red,adult,unisex,38
LIA_HF3144-100-8,Cinza,,,
LIA_HQ4307-604,Red/Vermelho,,,
LIA_IM0557-001-37,Prata,,,
LIA_JS3931-1,Brown/White,,,
LIA_HF3144-100-9,Cinza,,,
IQ7166-800-34,Orange/Laranja,adult,unisex,34
1183A360-002-4,Black/Preto,adult,unisex,37
LIA_FD4810010-6,Prateado,,,
1201A906-001-35,Black/Silver,adult,unisex,35
LIA_JR7035,Silver/Prateado,,,
LIA_U204L7A8-34,Light/Silver,,,
w6525r_01-2,Azul/Marinho,adult,unisex,XS/PP
1182A708.020-4,Preto,adult,unisex,37
JQ9230-1,Gold/Amarelo,,,
LIA_1182A708.020-2,Preto,,,
1183C468020-6,Cream/Cinza,,,
LIA_HQ4309-610-34,Pearl/Pink,,,
LIA_HQ4307-101-36,White/Red,,,
HQ4307-300-43,Mineral/Verde,adult,unisex,43
DB4612-100-2,Bege,,,
LIA_1201A789-020-40,Graphite/Grey,,,
SLCRCVNV-1,Azul/Marinho,,,
LIA_1201A933-100-41,White/Black,,,
43774078389090,Stone/Bege,,,
HQ7978-103-37,White,,,
U9060AUB-2,Grey/Cinza,,,
KI6669-39,Linen/Ivory,,,
LIA_HF3144-100-3,Cinza,,,
IO7847-001-43,Royal,,,
LIA_HM5973-603-1,Pink/Rosa,,,
LIA_1183A360-002-3,Black/Preto,,,
LIA_dc0774-0213,Black/Brown,,,
LIA_ST81,Preto,,,
gw0099,Ash/Stone,,,
LIA_IH2309-500-12,Azul,,,
DH1348-001-36,Laranja,,,
LIA_43774078390370,Preto,,,
1201A256-113-41,White/Branco,,,
LIA_IB8967-004-2,Preto,,,
IH7971-001-43,Black/Silver,,,
LIA_1201A256-113-44,White/Branco,,,
HM4743408,Denim/Azul,,,
IH4001-40,Sky/Cream,,,
LIA_HV0823-100-5,Azul,,,
LIA_U1906LNT-4,Black/Preto,,,
LIA_43774078389110,Stone/Bege,,,
U9060AUB-5,Grey/Cinza,,,
43774078387150,Brown/Orange,,,
LIA_gw0092,Ash/Stone,,,
U204L7A8-34,Light/Silver,,,
dc0774-0219,Black/Brown,,,
LIA_IO7847-002-35,Red/Branco,,,
bb5359,Black,,,
dc0774-02112,Black/Brown,,,
IB4340-200-37,Brown/Denim,,,
43774078389120,Stone/Bege,,,
LIA_f99714,Cinza,,,
DM7866105,Blue,,,
IQ1108-011-40,Cinza,,,
LIA_1183C115.020-10,Cinza,,,
AV3594-104-41,Brown/Stone,,,
LIA_ST57,Branco,,,
FJ2530-102-5,Vintage/Black,,,
JR0881-1,White/Vermelho,,,
1183A353.128-10,Cream/Green,,,
LIA_U9060EEL-3,Pearl/Grey,,,
FV5029-010-38,Black/Preto,,,
U204L5AV-38,Grey/Cinza,,,
HM5973-606-34,Pearl/Pink,,,
1183B577.102-8,White/Blue,,,
LIA_SLCRCVNV-1,Azul/Marinho,,,
dc0774-0218,Black/Brown,,,
1183C233-250-7,Natural/Navy,,,
LIA_ST62,Vermelha/Branco,,,
LIA_HM5973-801-38,Laranja,,,
IH4001-34,Sky/Cream,,,
LIA_1184A085.100-1,Branco,,,
LIA_U204L7A8-43,Light/Silver,,,
SLPTMCS-2,Verde,,,
LIA_khw5052-210,Bege/Branco,,,
LIA_1183C317.001-4,Black/Cream,,,
LIA_JS3931-7,Brown/White,,,
1183C123.264-4,Natural/Cream,,,
1183C428.200-3,Green/Bege,,,
IQ1108-011-34,Cinza,,,
4150234_3581_412-2,Marrom,adult,unisex,37/38
DZ4137114,Olive/Branco,,,
