signal_level,product_name,sku,size,sold_30d,order_count_30d,last_sold_at,tiny_stock_lk_controle,tiny_stock_total,inventory_quantity_shopify,estimated_days_cover,recommendation,stock_decision,signal_reason,lead_time_status
crítico,"Camiseta MASP x Leonilson ""Sem Titulo"" Bege",MASP1-1,P/S,6,1,2026-04-24T12:38:30-03:00,0.0,6.0,-6,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Moon Shoe SP Jacquemus Off White,HV8547-002-38,38,5,5,2026-05-01T11:12:17-03:00,0.0,13.0,0,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis New Balance 204L Mushroom Arid Stone Marrom,U204LMMA-5,38,4,4,2026-05-08T14:44:59-03:00,0.0,14.0,-1,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis New Balance 9060 Sea Salt Moonbeam Branco,U9060WHT-4,37,4,4,2026-05-10T13:11:48-03:00,-1.0,6.0,-2,-7.5,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Moon Shoe SP Jacquemus Medium Brown Marrom,HV8547-200-38,38,4,4,2026-05-09T17:35:51-03:00,0.0,8.0,-2,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Pullover Alo Yoga Accolade 1/4 Zip Preto,u3040rg_00-4,M/M,3,3,2026-04-28T21:07:05-03:00,0.0,3.0,-2,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis New Balance 204L Mushroom Arid Stone Marrom,U204LMMA-2,35,3,3,2026-05-05T18:16:34-03:00,0.0,14.0,0,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis New Balance 9060 Bisque Sea Salt Bege,U9060CCB-6,39,3,3,2026-04-30T10:57:05-03:00,0.0,0.0,0,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Moon Shoe SP Jacquemus Medium Brown Marrom,HV8547-200-41,41,3,3,2026-05-05T16:55:50-03:00,0.0,5.0,0,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Moon Shoe SP Jacquemus Medium Brown Marrom,HV8547-200-39,39,3,3,2026-05-03T23:28:04-03:00,-1.0,0.0,0,-10.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Moon Shoe SP Jacquemus Off White,HV8547-002-36,36,3,3,2026-05-06T07:03:24-03:00,0.0,8.0,-3,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Moon Shoe SP Jacquemus Off White,HV8547-002-39,39,3,3,2026-05-03T23:28:04-03:00,0.0,9.0,0,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Vomero Premium Flat Stout Marrom,IQ0028-209,43,3,3,2026-04-22T13:05:06-03:00,0.0,1.0,-1,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Jason Markk Essential Kit de Limpeza,300110,,2,2,2026-04-21T19:58:58-03:00,-2.0,70.0,0,-30.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,The Peptide Lip Tints Rhode Multicolor,LIP,Espresso Rich Brown,2,2,2026-04-29T17:14:04-03:00,0.0,0.0,-1,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis New Balance 9060 Black Castlerock Grey Preto,U9060BLK,39,2,2,2026-05-09T15:38:07-03:00,0.0,3.0,5,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis New Balance 9060 Mushroom Arid Stone Bege,43774078389050,34,2,2,2026-05-03T15:07:18-03:00,0.0,0.0,0,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis New Balance 9060 Mushroom Arid Stone Bege,U9060ERC-4,37,2,2,2026-05-01T23:07:57-03:00,0.0,7.0,-2,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis New Balance 9060 Rich Oak Marrom,U9060CCC-4,37,2,2,2026-05-08T12:08:05-03:00,0.0,2.0,-2,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis New Balance 9060 Sea Salt Concrete Branco,U9060ECA-10,40,2,2,2026-04-24T12:49:44-03:00,0.0,2.0,-3,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Mind 002 Black Hyper Crimson Preto,HQ4308-001-11,42,2,2,2026-05-02T20:27:43-03:00,0.0,0.0,0,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Mind 002 Black Hyper Crimson Preto,HQ4308-001-2,41,2,2,2026-04-14T20:26:00-03:00,0.0,0.0,0,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Moon Shoe SP Jacquemus Alabaster Amarelo,HV8547-700-5,38,2,2,2026-04-21T15:55:09-03:00,0.0,2.0,0,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
crítico,Tênis Nike Moon Shoe SP Jacquemus Medium Brown Marrom,HV8547-200-37,37,2,2,2026-04-29T16:38:33-03:00,0.0,8.0,-1,0.0,cotação/sourcing recomendado,não decidir automaticamente; validar Tiny depósito LK | CONTROLE ESTOQUE + lead time + margem antes de PO/compra,Venda recente com estoque oficial LK Controle zerado/negativo,lacuna: lead time por SKU/tamanho não disponível nas fontes lidas
